,Unnamed: 0,OID_,AREA,NODE_ID,TYPE,Mar_2022_Mean,Apr_2022_Mean,May_2022_Mean,Jun_2022_Mean,Jul_2022_Mean,Aug_2022_Mean,Sep_2022_Mean,Mar_2022_Median,Apr_2022_Median,May_2022_Median,Jun_2022_Median,Jul_2022_Median,Aug_2022_Median,Sep_2022_Median,Mar_2022_sd,Apr_2022_sd,May_2022_sd,Jun_2022_sd,Jul_2022_sd,Aug_2022_sd,Sep_2022_sd,Jan_2022_Mean,Feb_2022_Mean,Jan_2022_Median,Feb_2022_Median,Jan_2022_sd,Feb_2022_sd,Jan_2021_Mean,Feb_2021_Mean,Mar_2021_Mean,Apr_2021_Mean,May_2021_Mean,Jun_2021_Mean,Jul_2020_Mean,Jul_2021_Mean,Aug_2020_Mean,Aug_2021_Mean,Sep_2020_Mean,Sep_2021_Mean,Oct_2020_Mean,Oct_2021_Mean,Nov_2020_Mean,Nov_2021_Mean,Dec_2020_Mean,Dec_2021_Mean,Jan_2021_Median,Feb_2021_Median,Mar_2021_Median,Apr_2021_Median,May_2021_Median,Jun_2021_Median,Jul_2020_Median,Jul_2021_Median,Aug_2020_Median,Aug_2021_Median,Sep_2020_Median,Sep_2021_Median,Oct_2020_Median,Oct_2021_Median,Nov_2020_Median,Nov_2021_Median,Dec_2020_Median,Dec_2021_Median,Jan_2021_sd,Feb_2021_sd,Mar_2021_sd,Apr_2021_sd,May_2021_sd,Jun_2021_sd,Jul_2020_sd,Jul_2021_sd,Aug_2020_sd,Aug_2021_sd,Sep_2020_sd,Sep_2021_sd,Oct_2020_sd,Oct_2021_sd,Nov_2020_sd,Nov_2021_sd,Dec_2020_sd,Dec_2021_sd,Jan_2020_Mean,Jul_2019_Mean,Aug_2019_Mean,Sep_2019_Mean,Oct_2019_Mean,Nov_2019_Mean,Dec_2019_Mean,Jan_2020_Median,Jul_2019_Median,Aug_2019_Median,Sep_2019_Median,Oct_2019_Median,Nov_2019_Median,Dec_2019_Median,Jan_2020_sd,Jul_2019_sd,Aug_2019_sd,Sep_2019_sd,Oct_2019_sd,Nov_2019_sd,Dec_2019_sd,Feb_2020_Mean,Mar_2020_Mean,Apr_2020_Mean,May_2020_Mean,Jun_2020_Mean,Feb_2020_Median,Mar_2020_Median,Apr_2020_Median,May_2020_Median,Jun_2020_Median,Feb_2020_sd,Mar_2020_sd,Apr_2020_sd,May_2020_sd,Jun_2020_sd
10,10,10,CA,ALAMT1G_7_B1,GEN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11,11,11,CA,ALAMT1G_7_N002,LOAD,,,,,,,124.13989000000001,,,,,,,85.758255,,,,,,,150.05993362967797,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,12,12,CA,ALAMT2G_7_B1,GEN,42.85727848920863,60.01186672413793,64.90180981944445,70.91598629310344,75.7820886111111,106.79808694444444,124.13989000000001,45.65556,63.102325,70.392265,69.246925,70.83359,91.02969,85.758255,22.234571111756484,32.20119806917114,32.57950820815447,31.288078946628296,30.624153259328125,43.70630531785844,150.05993362967797,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13,13,13,CA,ALAMT2G_7_N002,LOAD,42.85727848920863,60.01186672413793,64.90180981944445,70.91598629310344,75.7820886111111,106.79808694444444,124.13989000000001,45.65556,63.102325,70.392265,69.246925,70.83359,91.02969,85.758255,22.234571111756484,32.20119806917114,32.57950820815447,31.288078946628296,30.624153259328125,43.70630531785844,150.05993362967797,52.352308375,44.482898467261904,50.605845,46.28408,16.83266454338624,22.65575772958405,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14,14,14,CA,ALAMT3G_7_B1,GEN,42.85735699280576,60.01191318965517,64.901385125,70.9147084051724,75.78163245833333,106.68080526388889,124.12604156609196,45.65556,63.102325,70.392265,69.246925,70.83359,91.02969,85.758255,22.23460898498238,32.201277386968655,32.579457738660224,31.28638516194492,30.623299671321565,43.54362744670605,150.023153540076,52.352330916666666,44.48297081845239,50.605845,46.28408,16.83271499958383,22.655806136050757,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15,15,15,CA,ALAMT3G_7_N002,LOAD,42.85735699280576,60.01191318965517,64.901385125,70.9147084051724,75.78163245833333,106.68080526388889,124.12604156609196,45.65556,63.102325,70.392265,69.246925,70.83359,91.02969,85.758255,22.23460898498238,32.201277386968655,32.579457738660224,31.28638516194492,30.623299671321565,43.54362744670605,150.023153540076,52.352330916666666,44.48297081845239,50.605845,46.28408,16.83271499958383,22.655806136050757,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16,16,16,CA,ALAMT4G_7_B1,GEN,42.85826407194244,60.01266489942528,64.90137804166666,70.91444550287356,75.77972159722222,106.79277647222224,124.12383255747126,45.65556,63.102325,70.392265,69.246925,70.83359,91.02969,85.758255,22.23473241625757,32.20115022983667,32.57891831523265,31.2864442425702,30.620550374350856,43.6937802609871,150.0128502519235,52.35263293055555,44.483024791666665,50.605845,46.28408,16.832791568541193,22.65583652620952,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17,17,17,CA,ALAMT4G_7_N002,LOAD,42.85826407194244,60.01266489942528,64.90137804166666,70.91444550287356,75.77972159722222,106.79277647222224,124.12383255747126,45.65556,63.102325,70.392265,69.246925,70.83359,91.02969,85.758255,22.23473241625757,32.20115022983667,32.57891831523265,31.2864442425702,30.620550374350856,43.6937802609871,150.0128502519235,52.35263293055555,44.483024791666665,50.605845,46.28408,16.832791568541193,22.65583652620952,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18,18,18,CA,ALAMT5G_7_B1,GEN,42.85733355395684,60.00875935344828,64.90158440277777,70.91538163793103,75.78184947222222,106.79649425,124.12593896551724,45.65556,63.102325,70.392265,69.246925,70.83359,91.02969,85.758255,22.23458909266052,32.200817955096,32.57948022264903,31.28803934187868,30.624257280078545,43.7015356781172,150.02483931433446,52.352432944444445,44.483089330357146,50.605845,46.28408,16.832757502699653,22.655817267274827,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19,19,19,CA,ALAMT5G_7_N002,LOAD,42.85733355395684,60.00875935344828,64.90158440277777,70.91538163793103,75.78184947222222,106.79649425,124.12593896551724,45.65556,63.102325,70.392265,69.246925,70.83359,91.02969,85.758255,22.23458909266052,32.200817955096,32.57948022264903,31.28803934187868,30.624257280078545,43.7015356781172,150.02483931433446,52.352432944444445,44.483089330357146,50.605845,46.28408,16.832757502699653,22.655817267274827,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20,20,20,CA,ALAMT6G_7_B1,GEN,42.85727848920863,60.00871979885057,64.90180981944445,70.91598629310344,75.7820886111111,106.79808694444444,124.13989000000001,45.65556,63.102325,70.392265,69.246925,70.83359,91.02969,85.758255,22.234571111756484,32.20069710373069,32.57950820815447,31.288078946628296,30.624153259328125,43.70630531785844,150.05993362967797,52.352308375,44.482898467261904,50.605845,46.28408,16.83266454338624,22.65575772958405,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21,21,21,CA,ALAMT6G_7_N002,LOAD,42.85727848920863,60.00871979885057,64.90180981944445,70.91598629310344,75.7820886111111,106.79808694444444,124.13989000000001,45.65556,63.102325,70.392265,69.246925,70.83359,91.02969,85.758255,22.234571111756484,32.20069710373069,32.57950820815447,31.288078946628296,30.624153259328125,43.70630531785844,150.05993362967797,52.352308375,44.482898467261904,50.605845,46.28408,16.83266454338624,22.65575772958405,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22,22,22,CA,ALHAMBRA_1_N001,LOAD,53.12541486330936,69.29886969827587,79.46205429166666,87.63238566091954,75.97318091666668,102.07100120833331,122.16775665229885,51.40485,68.06452999999999,76.254245,78.49750499999999,72.094855,90.13478,85.65427,23.3664978624252,27.957368774233807,47.5450719468649,54.97386419985608,24.566437504329468,36.73758977895677,146.90362367036914,56.89533118055555,65.87429150297619,53.442935,58.073220000000006,18.13969862577007,31.419243532780307,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23,23,23,CA,ALHAMBRA_1_N002,LOAD,53.12541486330936,69.29886969827587,79.46205429166666,87.63238566091954,75.97318091666668,102.07100120833331,122.16775665229885,51.40485,68.06452999999999,76.254245,78.49750499999999,72.094855,90.13478,85.65427,23.3664978624252,27.957368774233807,47.5450719468649,54.97386419985608,24.566437504329468,36.73758977895677,146.90362367036914,56.89533118055555,65.87429150297619,53.442935,58.073220000000006,18.13969862577007,31.419243532780307,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24,24,24,CA,ALLEGHNY_6_N001,LOAD,46.63298930935252,66.16539510057471,70.66293786111112,72.04122625,71.11019495833332,94.444757,114.35820793103449,47.31502,66.26873499999999,73.648365,71.328705,68.57624,85.42451,83.29629,19.6882630808693,26.473272927850605,28.750798989459355,29.87079458499502,24.507498467223588,29.41975204546613,128.59126264522203,54.66295466666667,48.76319625,52.440865,48.59633,15.602989667117996,18.854139939201595,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25,25,25,CA,ALMADEN_6_N001,LOAD,50.52221661870504,67.78256066091954,79.83501233333332,89.13632636494253,81.04983940277778,106.03399731944444,131.97284002873562,49.91359,67.84043,78.67679000000001,79.57217,76.43582,93.08682,89.292275,20.24565729744788,31.52701246498323,37.20626470539924,51.14505318898665,23.76515610931093,36.27692383564203,157.77248796449317,56.68117720833334,51.684306190476185,53.75778,50.163715,16.118792824629207,19.49255916705128,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
26,26,26,CA,ALMDACT1_7_B1,GEN,57.24116041726619,71.18484136494253,80.65926790277778,90.5413132902299,75.56150430555556,101.49915445833334,121.71645242816092,52.15367,69.948805,75.82105,78.03030000000001,71.90739500000001,90.00109499999999,85.530625,36.43093678910485,29.547947587439317,57.42219975245399,72.66382350405857,24.135177793701644,36.44251931406328,145.15982697980823,57.17355184722222,95.28797797619048,52.972570000000005,67.55475000000001,22.01151347000713,69.80680599086922,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
27,27,27,CA,ALMDACT2_7_B1,GEN,57.24233798561151,71.19411574712643,80.66038844444444,90.50957895114942,75.56061772222223,102.28183656944444,121.70951672413794,52.14874,69.95617999999999,75.80963,78.02369999999999,71.91743,90.086235,85.530625,36.42836865448106,29.563716643603183,57.38544822820858,72.56587266198656,24.137861770840058,38.88319485452261,145.1607878335484,57.17097798611111,95.61534357142855,52.972570000000005,67.55927,22.011036594989168,70.4559262261824,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
28,28,28,CA,ALPAUGH_1_N001,LOAD,41.4761446618705,53.37394622126437,57.50522816666667,67.47348545977012,71.32688273611112,94.4884556111111,112.51197110632184,45.90469,61.783105,67.247865,69.044985,68.78391500000001,87.440365,81.99315999999999,24.63105951589844,38.219876289028896,37.40154534957245,34.477512153914056,28.22252945730626,33.970397542647646,140.22537419204662,52.262534638888894,42.82141549107143,50.611855,47.20887999999999,17.252725481469977,26.72439888160536,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
29,29,29,CA,ALPINE_6_N001,LOAD,38.20732336690647,45.48254514367816,63.70314794444444,69.38741265804597,71.73585168055556,97.95460256944445,99.83151577586206,44.69644,56.978955,70.743095,68.564425,68.63466,86.74842000000001,73.588745,25.34354457584114,44.25385822193352,39.20973897466787,38.66785917579227,32.93114730890059,47.91334785589769,166.18056693941244,53.18093169444444,44.02642474702381,51.46925,45.910915,17.16224083130582,24.228241320799533,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30,30,30,CA,ALPINE_6_N005,LOAD,38.20732336690647,45.48254514367816,63.70078194444445,69.38741265804597,71.73585168055556,97.95460256944445,99.83115482758622,44.69644,56.978955,70.743095,68.564425,68.63466,86.74842000000001,73.588745,25.34354457584114,44.25385822193352,39.21012649273053,38.66785917579227,32.93114730890059,47.91334785589769,166.1806494993523,53.18093169444444,44.02642474702381,51.46925,45.910915,17.16224083130582,24.228241320799533,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
31,31,31,CA,ALTA1G_7_B1,GEN,43.25620487769784,59.914858045977006,61.19344494444444,70.54964912356321,75.32771176388889,106.81828938888889,125.02948816091954,46.15985,63.30294,68.141325,69.21734000000001,69.92332,91.33208,85.44666000000001,23.081947172054164,34.04732808608036,34.50463318024269,31.84936704112005,31.03173792750308,44.73821960645788,155.64153157420748,52.93010636111111,44.85079395833333,51.12539,46.84049,17.369465769965185,23.647475403147887,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
32,32,32,CA,ALTA2G_7_B1,GEN,43.25620487769784,59.914858045977006,61.19344494444444,70.54964912356321,75.32771176388889,106.81828938888889,125.02948816091954,46.15985,63.30294,68.141325,69.21734000000001,69.92332,91.33208,85.44666000000001,23.081947172054164,34.04732808608036,34.50463318024269,31.84936704112005,31.03173792750308,44.73821960645788,155.64153157420748,52.93010636111111,44.85079395833333,51.12539,46.84049,17.369465769965185,23.647475403147887,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
33,33,33,CA,ALTA30ST_7_B1,GEN,42.04647719424461,57.927058836206896,59.75103370833334,68.63114034482759,73.70653169444444,104.20055577777778,120.99268139367815,45.21425,61.530225,66.77634499999999,67.68211,68.41789,89.22364999999999,83.49873,22.508863482887666,32.95839453679063,33.440407550183,30.71481510004791,30.390911460068928,43.361542094336464,148.23374572412757,51.56764293055556,43.55695305059524,49.973005,45.55009,16.805455297183368,23.19194146493705,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
34,34,34,CA,ALTA31GT_7_B1,GEN,42.04647719424461,57.927058836206896,59.75103370833334,68.63114034482759,73.70653169444444,104.20055577777778,120.99268139367815,45.21425,61.530225,66.77634499999999,67.68211,68.41789,89.22364999999999,83.49873,22.508863482887666,32.95839453679063,33.440407550183,30.71481510004791,30.390911460068928,43.361542094336464,148.23374572412757,51.56764293055556,43.55695305059524,49.973005,45.55009,16.805455297183368,23.19194146493705,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
35,35,35,CA,ALTA40ST_7_B1,GEN,42.04647719424461,57.927058836206896,59.75103370833334,68.63114034482759,73.70653169444444,104.20055577777778,120.99268139367815,45.21425,61.530225,66.77634499999999,67.68211,68.41789,89.22364999999999,83.49873,22.508863482887666,32.95839453679063,33.440407550183,30.71481510004791,30.390911460068928,43.361542094336464,148.23374572412757,51.56764293055556,43.55695305059524,49.973005,45.55009,16.805455297183368,23.19194146493705,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
36,36,36,CA,ALTA41GT_7_B1,GEN,42.04647719424461,57.927058836206896,59.754232,68.6418475862069,73.70653169444444,104.2241987361111,121.00365022988505,45.21425,61.530225,66.77634499999999,67.68211,68.41789,89.22364999999999,83.50301999999999,22.508863482887666,32.95839453679063,33.440373935854666,30.71404537717754,30.390911460068928,43.35376256370219,148.22900072035495,51.56764293055556,43.55695305059524,49.973005,45.55009,16.805455297183368,23.19194146493705,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
37,37,37,CA,ALTA6B2_7_N003,GEN,41.76269700719425,56.45145663793103,59.341664180555554,67.48424380747126,72.12836591666667,101.40845280555556,118.14454956896552,44.85333,60.600555,65.945785,66.73492,67.28039,87.933055,82.780125,22.47321980468332,32.823824582039606,33.093411968027894,29.949692056478007,29.111414550126945,40.21555955278376,143.47898118436436,51.11657690277778,43.02674845238095,49.608755,45.437735,16.66903211909342,23.069898182553665,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
38,38,38,CA,ALTA6E2_7_N002,GEN,41.09044736690648,55.10598135057471,57.91623461111112,65.89146925287356,70.84787152777777,99.97376890277778,117.03716811781608,44.29543,59.117665,64.64642,65.212615,65.395565,86.33707,81.915235,22.19040119213491,32.327261348736855,32.36445400378508,29.20151039204401,28.69048283662836,39.61799777530738,142.27552999826324,50.69696236111111,42.68763138392857,49.28293,45.247485,16.531046230871738,23.000772024090697,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
39,39,39,CA,ALTAD1_7_N006,GEN,41.14427381294964,55.220360761494256,58.02781315277778,66.01918047413793,70.96004038888888,100.10819883333332,117.14273280172414,44.31384,59.247995,64.78486,65.26965,65.56706,86.50033,81.95461499999999,22.21360236459292,32.377511685868406,32.42123941066991,29.26440379133857,28.726422101961223,39.67412709419273,142.3764590169561,50.73239529166667,42.71684739583333,49.31342,45.28752,16.54126657908649,23.006106976351457,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
40,40,40,CA,ALTAD2_7_N006,GEN,39.41206867625899,55.87895123563218,59.44396834722222,67.59321034482758,72.21632756944445,101.50849779166666,118.23284732758621,44.0032,59.89491,66.032415,66.869385,67.37679,88.04523499999999,82.87057999999999,23.995316835022056,33.06411399229141,33.13824197343364,29.997997611333982,29.13882938747544,40.25477430990267,143.55437094590874,51.166967138888886,43.06454352678571,49.654605,45.45839,16.683492238842014,23.077230979533308,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
41,41,41,CA,ALTMMDW_2_N001,GEN,46.93469286330936,66.78401708333332,71.49822780555556,81.67720932471265,73.01943119444445,98.01604994444445,118.1638216091954,47.40497,67.14965000000001,73.49985000000001,78.04681,70.15326,87.51324,83.74989500000001,20.379264955383125,27.69464215477368,26.94599695540175,33.01101984666131,24.819499765141124,31.712380546502366,140.34731677504607,53.62101608333334,48.05480229166667,51.23297,48.04647,15.4380125194845,19.203979096370265,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
42,42,42,CA,ALTO_6_N001,LOAD,49.344101769784174,69.07215886494252,75.998524125,83.43923408045977,75.54205141666667,103.95270165277778,122.89188465517242,49.27418,68.21739,75.32945000000001,77.48195,71.37419,90.56318,85.70161,20.959802162986342,28.416047533143185,35.632110540699685,40.33675009031985,25.518334891271376,43.65889862181768,149.63441707641286,55.517032888888885,49.909185416666666,52.52193,49.170315,16.302421991191846,19.79675665595355,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
